"レンダリングサイズ (現在:10%)","Rendering size (Now:10%)"
"ボーンの長さ","The length of the bone"
"法線に合わせて回転","Rotate normal"
"辺にもボーンを追加","Add bones to the sides"
"頂点部分のボーン名","Vertex part bone name"
"頂点","Vertex"
"辺部分のボーン名","Side parts bone name"
"はメッシュオブジェクトではないので無視します","The mesh object the ignored"
"の真似をするアーマチュア","The armature to imitate"
"の真似をするアーマチュア","The armature to imitate"
"頂点グループがある頂点位置にボーン作成","Bones create the vertices where vertex groups"
"選択オブジェクトの頂点グループが割り当てられている頂点位置に、その頂点グループ名のボーンを作成します","Create a vertex group names of bones in the vertex position is choice object vertex groups assigned"
"アーマチュア名","Armature name"
"ボーン名を頂点グループ名に","Bone name vertex group names"
"ボーンの長さ","The length of the bone"
"アクティブオブジェクトがありません","There is no active object"
"はメッシュオブジェクトではありません、無視します","A mesh object, ignore"
"には頂点グループがありません、無視します","To ignore the missing vertex groups"
"モディファイア適用してペアレント作成","Applying modifiers, create a parent"
"親オブジェクトのモディファイアを適用してから、親子関係を作成します","Creates a parent-child relationship from the parent object's modifiers to apply"
"頂点","Vertex"
"頂点(三角形)","Vertex (triangle)"
"演算","Calculus"
"アクティブオブジェクトがありません","There is no active object"
"アクティブがメッシュオブジェクトではありません","Active is not a mesh object"
"モディファイア適用後に頂点数が変化してます、望んだ結果じゃないかもしれません","May not count changes after applying the modifier to the wished result"
"クイックカーブ変形","Quick curve deformation"
"すばやくカーブモディファイアを適用します","Quickly apply the curve modifier"
"変形する軸","Axial deformation"
"モディファイア適用","Modifiers applied"
"メッシュオブジェクトがアクティブな状態で実行して下さい","Please run the mesh object is active"
"メッシュ・カーブの2つのみ選択して実行して下さい","By selecting only the two meshes, curves, please run"
"カーブオブジェクトも選択状態で実行して下さい","Curve objects run in the selected state"
"クイック配列複製+カーブ変形","Quick array replication + curve deformation"
"すばやく配列複製モディファイアとカーブモディファイアを適用します","Quickly apply the curve modifier with the modifiers array replication"
"変形する軸","Axial deformation"
"頂点結合","Vertex binding"
"モディファイア適用","Modifiers applied"
"メッシュオブジェクトがアクティブな状態で実行して下さい","Please run the mesh object is active"
"メッシュ・カーブの2つのみ選択して実行して下さい","By selecting only the two meshes, curves, please run"
"カーブオブジェクトも選択状態で実行して下さい","Curve objects run in the selected state"
"ベベルオブジェクトを断面に移動","Bevel object section moved"
"カーブに設定されているベベルオブジェクトを選択カーブの断面へと移動させます","Curve beveled objects that move and cross section of you curve"
"先頭","Top"
"末尾","At the end"
"中心","Centre"
"移動位置","Moving location"
"ベベルを複製","Duplicate the bevel"
"複製元のベベルを削除","Delete the original bevel"
"Z角度","Z angle"
"2Dカーブに","On a 2-D curve"
"はカーブではありません、無視します","The curve, ignore"
"にベベルオブジェクトが設定されていません、無視します","To ignore the beveled objects is not set"
"内にカーブデータがありません、無視します","In these curves are no, ignore"
"のセグメント数が少なすぎます、無視します","The segment number is too low, ignore"
"オプションの値が不正です","Value of the option is invalid."
"オプションの値が不正です","Value of the option is invalid."
"は対応していないタイプのカーブです、無視します","The type does not support curves, ignore"
"レンダリング制限","Rendering limits"
"オブジェクトのレンダリング制限関係のメニューです","Menu object rendering limits involved."
"選択物のレンダリングを制限","Limit the choice of rendering"
"選択物のレンダリングを許可","Allow the choice of rendering"
"選択制限","Select limit"
"オブジェクトの選択制限関係のメニューです","Menu selection limits of object"
"選択物の選択を制限","Limit the choice of selecting"
"オブジェクト名","Object name"
"オブジェクト名関係のメニューです","Is the object name of the menu"
"オブジェクトカラー","Object color"
"オブジェクトカラー関係のメニューです","Relationship between object color menu."
"親子関係","Parent/child relationships"
"親子関係のメニューです","Is the menu of the parent-child relationship"
"モディファイア適用 => +頂点(三角形)","Modifiers apply = &gt; + vertex (triangle)"
"カーブ関係","Relationship between curves"
"カーブ関係の操作です","Operation of curve relationships"
"特殊処理","Special processing"
"特殊な処理をする操作のメニューです","Processing special action menu."
"ウェイト同士の合成","Synthesis of weights with each other"
"選択中のボーンと同じ頂点グループのウェイトを合成します","The synthetic weights of the selected bone and the same vertex groups"
"新頂点グループ作成","Create a new vertex group"
"新頂点グループ名の末尾","At the end of the new vertex group names"
"...等の合成","... And the synthetic"
"ボーンを2つ以上選択してから実行して下さい","Please select two or more bones from running"
"ウェイト同士の減算","Subtraction of weight between"
"選択中のボーンと同じ頂点グループのウェイトを減算します","Subtracts the weight of the selected bone and the same vertex groups"
"ボーンを2つ以上選択してから実行して下さい","Please select two or more bones from running"
"全頂点の平均ウェイトで塗り潰す","Fill in the average weight of all vertices"
"全てのウェイトの平均で、全ての頂点を塗り潰します","The average weight of all, fills all the vertices"
"強度","Strength"
"オブジェクトが重なっている部分を塗る","Paint the objects overlap"
"他の選択オブジェクトと重なっている部分のウェイトを塗ります","I painted the weight of the portion that overlaps the other selected objects"
"新しい頂点グループに","New vertex group"
"距離","Distances"
"加算","Add"
"減算","Subtraction"
"置換","Replacement"
"塗り潰し方法","How to fill"
"頂点グループぼかし","Vertex group blur"
"アクティブ、もしくは全ての頂点グループをぼかします","Blurs the active or all vertex groups"
"アクティブのみ","Only active"
"全て","All"
"対象","Target"
"繰り返し回数","Repeat count"
"ウェイト0.0は削除","Remove the weight of 0.0"
"アクティブオブジェクトがありません","There is no active object"
"メッシュオブジェクトで実行して下さい","Please run the mesh object"
"アクティブをぼかし","Active blur."
"全てをぼかし","Everything blurs."
"IK回転制限をコンストレイント化","Constraints of IK rotation restrictions"
"IKの回転制限設定をコンストレイントの回転制限設定にコピー","Copy rotation constraint restrictions IK rotation limit settings"
"無い場合コンストレイントを追加","If not add a constraint"
"ローカル空間","Local space"
"選択しているものを選択不可に","What is selected in the selection"
"選択しているボーンを選択不可能にします","Bones are selected to choose the impossible"
"全ての選択不可を解除","Unlock all selectable"
"全ての選択不可設定のボーンを選択可能にします","The non-selection of all bone"
"カスタムシェイプを作成","Create a custom shape"
"選択中のボーンのカスタムシェイプオブジェクトを作成します","Create a custom shape objects of the selected bone"
"オブジェクト名","Object name"
"カスタムシェイプ用オブジェクト","For custom shape objects"
"ひし形","Diamond"
"完了後オブジェクトモードに","To complete after the object mode"
"完了後アーマチュアを隠す","After hiding the armature"
"ポーズモードで実行してください","Try running in pause mode"
"アクティブオブジェクトがアーマチュアではありません","Active object is no armature"
"ウェイトコピー用メッシュを作成","Create a mesh for weight copy"
"選択中のボーンのウェイトコピーで使用するメッシュを作成します","Creates a mesh to use with a copy of the selected bone weight"
"作成するオブジェクト名","Name of object to create"
"ウェイトコピー用オブジェクト","Weight for objects"
"末尾","At the end"
"根本","The fundamental"
"ウェイトの位置","Position of the weight"
"ポーズモードで実行してください","Try running in pause mode"
"アクティブオブジェクトがアーマチュアではありません","Active object is no armature"
"ボーン名をクリップボードにコピー","Copy to Clipboard bone name"
"アクティブボーンの名前をクリップボードにコピーします","Copies the Clipboard the name of active bone"
"オブジェクト名も","Object name"
"チェーン状ボーンをグリースペンシルに沿わせる","A chain of bones around grease pencil"
"チェーンの様に繋がった選択ボーンをグリースペンシルに沿わせてポーズを付けます","Select bones linked like a chain of threading to grease pencil, pose"
"根本を元の位置に","Fundamental to its original position"
"チェーン状に繋がったボーン群を選択して実行して下さい","Select Group of bones led to the chain, please run"
"ボーン名を正規表現で置換","Replace the bone names in regular expressions"
"(選択中の)ボーン名を正規表現に一致する部分で置換します","In the bone name (of choice) to match regular expression replace"
"非選択も含め全て","Including non-select all"
"置換前(正規表現)","Replacement front (in regular expressions)"
"置換後","Replacement"
"ポーズモードで実行してください","Try running in pause mode"
"アーマチュアオブジェクトではありません","Armature object is not"
"スローペアレントを設定","Set slow parent"
"選択中のボーンにスローペアレントを設定します","Sets the selected bone slow parent"
"減衰トラック","Decay tracks"
"ストレッチ","Stretch"
"位置コピー","Copy location"
"コンストレイント","Constraint"
"エンプティの大きさ","The size of the empty"
"スローペアレントの強度","Slow parent strength"
"ボーンにドライバを追加","Add a driver to the bone"
"ボーン「","Bone ""
"」には親がありません、スルーします",""That has no parent, through the"
"ボーン名の XXX.R => XXX_R を相互変換","Bone name XXX. R = &gt; XXX_R juggling"
"ボーン名の XXX.R => XXX_R を相互変換します","Bone name XXX. R = &gt; the juggling XXX_R"
"ポーズモードでボーンを選択して実行して下さい","Select the bone in the pause mode, run"
"ボーン名の変換が終了しました、","Bone transformation has ended,"
"個変換しました","Each conversion."
"ボーン名の XXX.R => 右XXX を相互変換","Bone name XXX. R = &gt; juggling right XXX"
"ボーン名の XXX.R => 右XXX を相互変換します","Bone name XXX. R = &gt; the conversion right XXX"
"XXX.R => 右XXX","XXX. R = 右XXX >"
"ポーズモードでボーンを選択して実行して下さい","Select the bone in the pause mode, run"
"^右","^ Right"
"^左","^ L"
"ボーン名の変換が終了しました、","Bone transformation has ended,"
"個変換しました","Each conversion."
"ポーズ位置を切り替え","Toggles the pause position"
"アーマチュアのポーズ位置/レスト位置を切り替えます","Toggles the pause / rest position of the armature"
"アーマチュアで実行して下さい","Try in the armature."
"対のボーンにコンストレイントをコピー","Copy the constraints vs. Vaughan"
"「X.L」なら「X.R」、「X.R」なら「X.L」の名前のボーンへとコンストレイントをコピーします",""X.L" If "X.R", "X.R" bone "X.L" name copy constraints"
"の対になるボーンが存在しないので無視します","The ignores because bone-to-be does not exist"
"はミラーに対応した名前ではありません、無視します","The name that corresponds to the mirror, ignore"
"ボーン名の連番を削除","Remove the bone name serial number"
"「X.001」など、連番の付いたボーン名から数字を取り除くのを試みます","Try to get rid of the numbers from the bone names with sequential numbers, such as "X.001""
"物理演算を設定","Set the physical operations"
"選択中の繋がったボーン群に、RigidBodyによる物理演算を設定します","Bone group led selected sets the physical operations of the RigidBody"
"シェイプサイズ","Shape size"
"シェイプの細分化","Shape granular"
"剛体コンストレイントサイズ","Rigid constraint size"
"十字","Cross"
"座標軸","Coordinate axes"
"矢印","Arrow"
"立方体","Cube"
"円錐","Cone"
"画像","Images"
"剛体コンストレイント表示","Rigid constraint display"
"剛体コンストレイントをシェイプに追尾","Track shape rigid constraints"
"回転制限","Rotation limit"
"減衰：移動","Attenuation: move"
"減衰：回転","Attenuation: rotate"
"アクティブオブジェクトがありません","There is no active object"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"ポーズモードで実行して下さい","Please run in pause mode"
"一連の繋がったボーンを選択して実行して下さい","Please run then led a series of bones"
"剛体基点","Basic point was that"
"剛体","Was that body"
"剛体コンストレイント","Rigid constraints"
"現ポーズを回転制限に","Currently pose a rotation limit"
"現在のボーンの回転状態を、IKやコンストレイントの回転制限へと設定します","Rotational States of current bone sets to rotation limit constraints and IK"
"IKの回転制限","IK rotation restrictions"
"コンストレイントの回転制限","Rotation limit constraints"
"モード","Mode"
"制限の反転","Reversal of the restrictions"
"X軸の制限","Limits of the X axis"
"Y軸の制限","Limits of the Y axis"
"Z軸の制限","Z-limits"
"ポーズの回転をリセット","Reset rotation pose"
"アクティブオブジェクトがありません","There is no active object"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"ポーズモードで実行して下さい","Please run in pause mode"
"ボーン名","Bone name"
"ボーン名に関する機能のメニューです","Feature on the bone name menu."
"ボーン名置換「XXX_R => XXX.R」","Bone name replacing "XXX_R = &gt; XXX. R '"
"ボーン名置換「XXX.R => XXX_R」","Bone name replacing "XXX. R = &gt; XXX_R ""
"ボーン名置換「XXX_R => 右XXX」","Bone name replacing "XXX_R = &gt; right XXX""
"ボーン名置換「右XXX => XXX_R」","Bone name replacing "XXX right = &gt; XXX_R""
"特殊処理","Special processing"
"特殊な処理に関する機能のメニューです","Handling special functions menu."
"ポーズ位置を切り替え (現在：レスト位置)","Pause position, switching current (rest position)"
"ポーズ位置を切り替え (現在：ポーズ位置)","Pose position switch pose position (current)"
"右半分を選択","Select the right half"
"ボーン群の右半分を選択します(その他設定も有)","Select the right half of the bone (and other settings too)"
"X軸","The x axis"
"Y軸","Y軸"
"Z軸","Z軸"
"-(マイナス)","-(Minus)"
"+(プラス)","+ (Plus)"
"方向","Direction"
"オフセット","Offset"
"しきい値","Threshold"
"X=0の頂点を選択","Select the vertex of X = 0"
"X=0の頂点を選択する","Select the vertex of X = 0"
"X軸","The x axis"
"Y軸","Y軸"
"Z軸","Z軸"
"オフセット","Offset"
"しきい値","Threshold"
"右半分を選択","Select the right half"
"メッシュの右半分を選択します(その他設定も有)","Select the right half of the mesh (other settings too)"
"X軸","The x axis"
"Y軸","Y軸"
"Z軸","Z軸"
"-(マイナス)","-(Minus)"
"+(プラス)","+ (Plus)"
"方向","Direction"
"オフセット","Offset"
"しきい値","Threshold"
"サイズで比較してオブジェクトを選択","In size compared to the object"
"最大オブジェクトに対して大きい、もしくは小さいオブジェクトを選択します","Select the maximum objects larger or smaller objects"
"大きい物を選択","Choose the big ones"
"小さい物を選択","Choose small ones"
"選択モード","Selection mode"
"メッシュ","Mesh"
"カーブ","Curve"
"サーフェス","Surface"
"メタボール","Metaballs"
"テキスト","Text"
"アーマチュア","Armature"
"ラティス","Lattice"
"全て","All"
"選択タイプ","Select type"
"選択範囲","Selection"
"同じ名前のオブジェクトを選択","Select the object with the same name"
"アクティブなオブジェクトと同じ名前 (X X.001 X.002など) の可視オブジェクトを選択します","Select the visible object of the active object with the same name, such as (X.001 X X.002)"
"同じマテリアル構造のオブジェクトを選択","Select an object of same material structure"
"アクティブなオブジェクトのマテリアル構造と同じ可視オブジェクトを選択します","Select the active object material structure and same visible objects"
"同じモディファイア構造のオブジェクトを選択","Select the same modifier structure objects"
"アクティブなオブジェクトのモディファイア構造が同じ可視オブジェクトを選択します","Select the same modifier of active objects visible objects"
"同じサブサーフレベルのオブジェクトを選択","Select Subsurf levels the same object"
"アクティブなオブジェクトのサブサーフレベルが同じ可視オブジェクトを選択します","Select Subsurf levels of active objects have the same visible objects"
"同じアーマチュアで変形しているオブジェクトを選択","Select the objects that transform in the same armature"
"アクティブなオブジェクトと同じアーマチュアで変形している可視オブジェクトを選択します","Select the visible objects are transformed in an active object with same armature"
"アクティブオブジェクトにアーマチュアモディファイアがありません","No active object armtuamodifaia"
"サイズで比較してオブジェクトを選択","In size compared to the object"
"アクティブオブジェクトより大きい、もしくは小さいオブジェクトを追加選択します","Greater than the active object, or select additional small objects"
"より大きい物を選択","Choose the bigger ones"
"より小さい物を選択","Choose smaller ones"
"選択モード","Selection mode"
"同じサイズも選択","Also choose the same size"
"メッシュ","Mesh"
"カーブ","Curve"
"サーフェス","Surface"
"メタボール","Metaballs"
"テキスト","Text"
"アーマチュア","Armature"
"ラティス","Lattice"
"全て","All"
"同じタイプ","Same type"
"選択タイプ","Select type"
"基準サイズ オフセット","Standard size offset"
"アクティブオブジェクトがありません","There is no active object"
"面のあるメッシュを選択","Choose a surface mesh"
"面が1つ以上あるメッシュを選択します","Select a mesh surface at least one"
"辺のみのメッシュを選択","Select only the side mesh"
"面が無く、辺のみのメッシュを選択します","Surface, select the only side mesh"
"頂点のみのメッシュを選択","Select the mesh vertices only"
"面と辺が無く、頂点のみのメッシュを選択します","Surfaces and edges, select the mesh vertices only"
"頂点すら無いメッシュを選択","Select the no mesh even vertex"
"面と辺と頂点が無い空のメッシュオブジェクトを選択します","Surface and edge and select the mesh object vertex is not empty"
"関係で選択 (拡張)","Selected relationship (extended)"
"プロパティによってグループ化されたすべての可視オブジェクトを選択します","Select all visible objects grouped by properties"
"直接の子","Immediate children"
"兄弟","Brother"
"タイプ","Type"
"レイヤー","Layer"
"グループ","Group"
"パス","Path"
"カラー","Color"
"プロパティ","Property"
"キーイングセット","Keying set"
"ランプタイプ","Lamp type"
"より大きい","Greater than"
"より小さい","Less than"
"オブジェクト名","Object name"
"マテリアル","Material"
"モディファイア","Modifier"
"サブサーフレベル","Subsurf levels"
"同アーマチュア変形","Same armature deformation"
"メッシュの特徴で選択","Selected characteristics of a mesh"
"可視メッシュオブジェクトを選択する機能のメニューです","Ability to select the mesh object visualization menu."
"面あり","Terms and"
"辺のみ","Sides only"
"頂点のみ","Only the vertices"
"頂点すら無し","Even the vertex no"
"小さなものを選択","Choose small ones"
"大きなものを選択","Choose the big ones"
"連番の付いたボーンを選択","Select a numbered bone."
"X.001 のように番号の付いた名前のボーンを選択します","Select the name with a number X.001 in bone"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"対称のボーンへ選択を移動","Symmetrical bones move selection"
"X.Rを選択中ならX.Lへ選択を変更、X.LならX.Rへ","If you choose X.R change selection to X.L, if X.L to X.R"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"はミラーに対応した名前ではありません、無視します","The name that corresponds to the mirror, ignore"
"の対になるボーンが存在しないので無視します","The ignores because bone-to-be does not exist"
"同じコンストレイントのボーンを選択","Select the bone of the same constraints"
"アクティブボーンと同じ種類のコンストレイントを持ったボーンを追加選択します","Select additional bone with active bone and same kind of constraint."
"同じ名前のボーンを選択","Select the bone of the same name."
"X X.001 X.002 などのボーン名を同じ名前とみなして選択します","Regarding the bone names, such as X-X.001 X.002 with the same name, select"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"名前が対称のボーンを追加選択","Select Add name of symmetrical bone"
"X.Rを選択中ならX.Lも追加選択、X.LならX.Rも選択","If you select X.R X.L also selected X.R X.L if additional selection"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"はミラーに対応した名前ではありません、無視します","The name that corresponds to the mirror, ignore"
"の対になるボーンが存在しないので無視します","The ignores because bone-to-be does not exist"
"ボーンの末端まで選択","Until the end of the bone"
"選択ボーンの子 → 子ボーンの子...と最後まで選択していきます","Select bones child-child child's bones. And we will select to the end"
"アクティブオブジェクトがありません","There is no active object"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"ボーンの根本まで選択","Select the bone"
"選択ボーンの親 → 親ボーンの親...と最後まで選択していきます","Select bones parent → parent of parent bone. And we will select to the end"
"アクティブオブジェクトがありません","There is no active object"
"アーマチュアオブジェクトで実行して下さい","Run with an armature object"
"関係で選択 (拡張)","Selected relationship (extended)"
"同じプロパティでまとめた可視ボーンをすべて選択する機能のメニューです","Ability to select all visible bones together with the same properties menu."
", text="レイヤー", icon="PLUGIN").type = ","icon = text = "layer", "PLUGIN").type = "
"レイヤー","Layer"
", text="グループ", icon="PLUGIN").type = ","text = "group" icon = "PLUGIN").type = "
"グループ","Group"
", text="キーイングセット", icon="PLUGIN").type = ","text = "keying sets", icon = "PLUGIN").type = "
"キーイングセット","Keying set"
"ボーン名","Bone name"
"名前が対称","Mirror name"
"コンストレイント","Constraint"
"メッシュに3Dカーソルをスナップ","3D cursor snap to mesh"
"マウス下のメッシュ面上に3Dカーソルを移動させます(ショートカットに登録してお使い下さい)","(Please use the shortcuts) mesh surface under the mouse move the 3D cursor"
"マウス位置","Mouse position"
"視点位置に3Dカーソル移動","3D Navigation view"
"視点の中心位置に3Dカーソルを移動させます","Move the 3D cursor center position of"
"3Dカーソルを非表示に(遥か遠くに)","3D cursor invisible in the (distant)"
"3Dカーソルを遥か遠くに移動させて非表示のように見せかけます","Pretend to hide the 3D cursor to move far far away"
"カーソル → 視点位置","Cursor-position"
"カーソル → 非表示 (遠くへ)","Cursor to hide (to)"
"カーソル → メッシュ表面","Cursor → mesh surface"
"他のUVからコピー","Copied from other UV"
"アクティブなUV展開を他のUVからコピーしてきます","Active UV unwrapping can be copied from other UV"
"メッシュオブジェクトで実行して下さい","Please run the mesh object"
"UV数が2つ以上で実行して下さい","UV number is run in two or more"
"他のUVからコピー","Copied from other UV"
"アクティブなUV展開を他のUVからコピーしてきます","Active UV unwrapping can be copied from other UV"
"他のUVからコピー","Copied from other UV"
"選択部分のアクティブなUV展開を、他のUVからコピーしてきます","Deploying an active UV selection will copy from other UV"
"コピー元UV","Copy source UV"
"グローバルビュー/ローカルビュー(非ズーム)","Global view and local views (non-zoom)"
"選択したオブジェクトのみを表示し、視点の中央に配置します(ズームはしません)","And show only selected objects, center point of the Zoom (is not)"
"パネル表示切り替え(モードA)","Toggle Panel (mode A)"
"プロパティ/ツールシェルフの「両方表示」/「両方非表示」をトグルします","The properties/tool shelf "both display" / "both hide" toggle"
"パネル表示切り替え(モードB)","Toggle Panel (mode B)"
"「パネル両方非表示」→「ツールシェルフのみ表示」→「プロパティのみ表示」→「パネル両方表示」のトグル",""Panel both hide" → show only the tool shelf → show only properties → "Panel both display" for toggle"
"パネル表示切り替え(モードC)","Toggle Panel (mode C)"
"「パネル両方非表示」→「ツールシェルフのみ表示」→「プロパティのみ表示」... のトグル",""Panel both hide" → see only the tool shelf → view properties only. The toggle"
"シェーディング切り替え(モードA)","Shading switch (mode A)"
"シェーディングを 「ワイヤーフレーム」→「ソリッド」→「テクスチャ」... と切り替えていきます",""Wireframe", "solid" → "texture" shading... We'll switch and"
"視点のセーブ","Save view"
"現在の3Dビューの視点をセーブします","Save the current 3D view perspective"
"視点セーブデータ名","View saved names"
"視点セーブデータ","View saved games"
"視点の読み込みに失敗しました、セーブデータをリセットします","Failed to load of the SaveGame resets"
"現在の視点をセーブデータ","Perspective on the current saved games."
"に保存しました","In the saved"
"視点のロード","Point of load"
"現在の3Dビューに視点をロードします","Load the current 3D view perspective"
"視点セーブデータ名","View saved names"
"視点セーブデータ","View saved games"
"視点の読み込みに失敗しました、セーブデータをリセットします","Failed to load of the SaveGame resets"
"視点セーブデータ","View saved games"
"を読み込みました","Loaded"
"視点のセーブデータ","View saved games"
"が存在しませんでした","Did not exist"
"視点セーブデータを破棄","Discard the saved game point of view"
"全ての視点セーブデータを削除します","Removes all viewpoints save data"
"パイメニュー","Pie menu"
"3Dビュー関係のパイメニューです","Is the pie between the 3D view"
"レイヤー","Layer"
"プリセットビュー","Preset views"
"プリセットビュー(テンキー1,3,7とか)のパイメニューです","Is a pie menu of preset views or (NUMPAD 1, 3, 7)"
"プリセットビュー","Preset views"
"プリセットビュー(テンキー1,3,7とか)のパイメニューです","Is a pie menu of preset views or (NUMPAD 1, 3, 7)"
"カメラ","Camera"
"透視投影/平行投影","Perspective projection and parallel projection"
"シェーディング切り替え","Shading transitions"
"シェーディング切り替えパイメニューです","Is the shading switch pie"
"シェーディング切り替え","Shading transitions"
"シェーディング切り替えパイメニューです","Is the shading switch pie"
"バウンディングボックス","Bounding box"
"レンダー","Render"
"ソリッド","Solid"
"テクスチャ","Texture"
"ワイヤーフレーム","Wire frame"
"マテリアル","Material"
"シェーディング切り替え","Shading transitions"
"シェーディングを切り替えます","Toggles shading"
"シェーディング","Shading"
"レイヤーのパイメニュー","Layer pie"
"レイヤー表示切り替えのパイメニューです","Is a pie menu toggle layer visibility"
"レイヤーのパイメニュー","Layer pie"
"レイヤー表示切り替えのパイメニューです","Is a pie menu toggle layer visibility"
"切り替えるレイヤーを選択して下さい (+Shiftで追加選択 +Ctrlで半選択 +Altで半選択解除)","Select layer switch (shift + add choice + CTRL in semi-selection + Alt half-clear)"
"レイヤーのパイメニュー","Layer pie"
"レイヤーを切り替えます (+Shiftで追加選択 +Ctrlで半選択 +Altで半選択解除)","Shows or hides layer (shift + add choice + CTRL in semi-selection + Alt half-clear)"
"レイヤー番号","Layer number"
"選択拡張","Select extension"
"半選択","Half selection"
"半選択解除","Half-clear"
"ショートカット登録用","Shortcut for registration"
"ショートカットに登録すると便利かもしれない機能群です","Shortcuts and features that might come in handy"
"視点のセーブ/ロード","View save/load"
"視点のセーブ/ロード操作のメニューです","Save / load operations point of view menu."
" をロード"," Road"
"選択部分を表示 (非ズーム)","Display selection (non-zoom)"
"選択中の物に3D視点の中心を合わせます(ズームはしません)","Food choice in over the center of the 3D view (zoom is not)"
"視点を原点に","Viewpoint at the origin"
"3Dビューの視点を座標の中心に移動します","3D view perspective moves in the center of the coordinate"
"選択+視点の中心に","In the center of the selection + POV"
"マウス下の物を選択し視点の中心にします (Shiftを押しながらで追加選択)","Select the object under the mouse, the center point of (shift in additional selection)"
"ズームしない","No zoom"
"ズームする","To zoom"
"視点変更方法","How to change the point of view"
"マウス位置","Mouse position"
"追加選択","Add selection"
"メッシュに視点をスナップ","Snap to point mesh"
"マウス下のメッシュ面上に視点の中心を移動させます(ショートカットに登録してお使い下さい)","(Please use the shortcuts) move the center point of mesh surface under the mouse"
"マウス位置","Mouse position"
"ビューの反対側に","On the other side of the view"
"現在のビューの逆側へ回りこみます","Orbit to the reverse side of the current view"
"視点と3Dカーソルを原点に","3D cursor with the viewpoint at the origin"
"視点と3Dカーソルの位置を原点(XYZ=0.0)に移動させます","Perspective and 3D cursor position move to origin (XYZ=0.0)"
"メッシュに視点と3Dカーソルをスナップ","Perspective and 3D cursor snap to mesh"
"マウス下のメッシュ面上に視点と3Dカーソルを移動させます (ショートカットに登録してお使い下さい)","(Please use the shortcuts) move the viewpoint and 3D cursor mesh surface under the mouse"
"マウス位置","Mouse position"
"面を正面から見る","Viewed from the front side"
"選択中の面の法線方向から面を注視します","The watch face from the selected surface normal direction"
"さいでんか(saidenka)","Saidenn or (saidenka)"
"様々なメニューの末尾","At the end of a varied menu"
"さいでんか制作の拡張機能群の詰め合わせ","An assortment of extended functions of saidenn production"
"無効なメニュー","Invalid menu"
"「追加項目のオン/オフ」の非表示","Turn on/off additional items hidden"
"視点のセーブデータ","View saved games"
"XMLキーコンフィグのパス","XML game pass"
"追加項目のオン/オフ","Turn on or off additional items"
"ScrambleAddonによる追加メニューを有効/無効に切り替えます","ScrambleAddon-add menu toggles the enabled / disabled"
